id,pool,sid,name,postal,province,address,city
a2t5o00000001F6AAI,Sobeys_Covid_Pool?,8883,Safeway Cornerstone - COVID - PFIZER,T4V 4T1,Alberta,"200, 6800 - 48 Avenue",Camrose
a2t5o00000001F8AAI,Sobeys_Covid_Pool?,8886,Safeway Callingwood - COVID - PFIZER,T5T 4J5,Alberta,"600, 6655 - 178 Street NW",Edmonton
a2t5o000000088lAAA,Sobeys_Covid_Pool?,8991,Safeway Chestermere Station - COVID - MODERNA,T1X 1V2,Alberta,"100, 135 Chestermere Station Way",Chestermere
a2t5o0000000879AAA,Sobeys_Covid_Pool?,8886,Safeway Callingwood - COVID - MODERNA,T5T 4J5,Alberta,"600, 6655 - 178 Street NW",Edmonton
a2t5o000000084PAAQ,Sobeys_Covid_Pool?,5386,Sobeys Mahogany - COVID - MODERNA,T3M 2P8,Alberta,"1200, 7 Mahogany Plaza SE",Calgary
a2t5o000000087OAAQ,Sobeys_Covid_Pool?,8891,Safeway Westmount Centre - COVID - MODERNA,T5M 3L7,Alberta,"601, 111 Ave and Groat Road",Edmonton
a2t5o00000002DuAAI,Sobeys_Covid_Pool?,8989,Safeway South Trail Crossing - COVID - MODERNA,T2Z 3V8,Alberta,"#100, 4915 - 130 Avenue SE",Calgary
a2t5o000000087xAAA,Sobeys_Covid_Pool?,8913,Safeway North Hill Center - COVID - MODERNA,T2N 1M7,Alberta,"#1846,1632 - 14 Avenue NW",Calgary
a2t5o000000083gAAA,Sobeys_Covid_Pool?,8898,Safeway Bonnie Doon - COVID - MODERNA,T6C 0Y6,Alberta,"#185, 8330 - 82 Avenue NW",Edmonton
a2t5o0000000861AAA,Sobeys_Covid_Pool?,5172,Sobeys Airdrie - COVID - MODERNA,T4B 0V7,Alberta,"100, 65 MacKenzie Way SW",Airdrie
a2t5o000000087dAAA,Sobeys_Covid_Pool?,8904,Safeway Southgate - COVID - MODERNA,T6H 4M6,Alberta,"100A, 5015 - 111 Street NW",Edmonton
a2t5o000000087ZAAQ,Sobeys_Covid_Pool?,8920,Safeway West Lethbridge - COVID - MODERNA,T1J 4T3,Alberta,"1, 550 University Drive W.",Lethbridge
a2t5o0000003herAAA,Sobeys_Covid_Pool?,8991,Safeway Chestermere Station - COVID - ASTRAZENECA,T1X 1V2,Alberta,"100, 135 Chestermere Station Way",Chestermere
a2t5o0000003i1mAAA,Sobeys_Covid_Pool?,8891,Safeway Westmount Centre - COVID - ASTRAZENECA,T5M 3L7,Alberta,"601, 111 Ave and Groat Road",Edmonton
a2t5o0000003htoAAA,Sobeys_Covid_Pool?,8823,Safeway Beacon Heights - COVID - ASTRAZENECA,T2E 2S6,Alberta,"#20, 1818 Centre Street NE",Calgary
a2t5o0000003i2GAAQ,Sobeys_Covid_Pool?,8913,Safeway North Hill Center - COVID - ASTRAZENECA,T2N 1M7,Alberta,"#1846,1632 - 14 Avenue NW",Calgary
a2t5o000000087TAAQ,Sobeys_Covid_Pool?,8892,Safeway Northgate Centre - COVID - MODERNA,T5E 5R8,Alberta,"200, 9499 - 137 Avenue NW",Edmonton
a2t5o000000083vAAA,Sobeys_Covid_Pool?,1130,Sobeys Okotoks - COVID - MODERNA,T1S 2E1,Alberta,"700 Cornerstone, 201 Southridge Drive",Okotoks
a2t5o0000000853AAA,Sobeys_Covid_Pool?,8823,Safeway Beacon Heights - COVID - MODERNA,T2E 2S6,Alberta,"#20, 1818 Centre Street NE",Calgary
a2t5o0000003hqVAAQ,Sobeys_Covid_Pool?,8898,Safeway Bonnie Doon - COVID - ASTRAZENECA,T6C 0Y6,Alberta,"#185, 8330 - 82 Avenue NW",Edmonton
a2t5o0000003i2fAAA,Sobeys_Covid_Pool?,8989,Safeway South Trail Crossing - COVID - ASTRAZENECA,T2Z 3V8,Alberta,"#100, 4915 - 130 Avenue SE",Calgary
a2t5o0000003hm0AAA,Sobeys_Covid_Pool?,8892,Safeway Northgate Centre - COVID - ASTRAZENECA,T5E 5R8,Alberta,"200, 9499 - 137 Avenue NW",Edmonton
a2t5o0000003hilAAA,Sobeys_Covid_Pool?,1130,Sobeys Okotoks - COVID - ASTRAZENECA,T1S 2E1,Alberta,"700 Cornerstone, 201 Southridge Drive",Okotoks
a2t5o0000003hhZAAQ,Sobeys_Covid_Pool?,5172,Sobeys Airdrie - COVID - ASTRAZENECA,T4B 0V7,Alberta,"100, 65 MacKenzie Way SW",Airdrie
a2t5o0000003hvgAAA,Sobeys_Covid_Pool?,5386,Sobeys Mahogany - COVID - ASTRAZENECA,T3M 2P8,Alberta,"1200, 7 Mahogany Plaza SE",Calgary
a2t5o0000003hzmAAA,Sobeys_Covid_Pool?,8886,Safeway Callingwood - COVID - ASTRAZENECA,T5T 4J5,Alberta,"600, 6655 - 178 Street NW",Edmonton
a2t5o0000003i1cAAA,Sobeys_Covid_Pool?,8883,Safeway Cornerstone - COVID - ASTRAZENECA,T4V 4T1,Alberta,"200, 6800 - 48 Avenue",Camrose
a2t5o0000003hqkAAA,Sobeys_Covid_Pool?,8904,Safeway Southgate - COVID - ASTRAZENECA,T6H 4M6,Alberta,"100A, 5015 - 111 Street NW",Edmonton
a2t5o00000001E3AAI,Sobeys_Covid_Pool?,1104,Sobeys Uplands - COVID - PFIZER,T1H 6T3,Alberta,327 Bluefox Boulevard N,Lethbridge
a2t5o00000001E4AAI,Sobeys_Covid_Pool?,1110,Sobeys Tuscany Boulevard - COVID - PFIZER,T3L 2V7,Alberta,2020-11300 Tuscany Boulevard NW,Calgary
a2t5o00000001E5AAI,Sobeys_Covid_Pool?,1117,Sobeys Bridlewood - COVID - PFIZER,T2Y 4S6,Alberta,100-2335 162 Avenue SW,Calgary
a2t5o00000001E7AAI,Sobeys_Covid_Pool?,8847,Safeway Shawnessey - COVID - PFIZER,T2Y 2Z3,Alberta,70 Shawville Boulevard SE,Calgary
a2t5o00000001E8AAI,Sobeys_Covid_Pool?,8849,Safeway Beddington - COVID - PFIZER,T3K 2A8,Alberta,8120 Beddington Blvd NW,Calgary
a2t5o00000001E9AAI,Sobeys_Covid_Pool?,8852,Safeway West Hills Towne Centre - COVID - PFIZER,T3H 3C8,Alberta,200 Stewart Green SW,Calgary
a2t5o00000001EAAAY,Sobeys_Covid_Pool?,8854,Safeway Fairway Plaza - COVID - PFIZER,T1K 6Z3,Alberta,2750 Fairway Plaza Road S.,Lethbridge
a2t5o00000001EBAAY,Sobeys_Covid_Pool?,8898,Safeway Bonnie Doon - COVID - PFIZER,T6C 0Y6,Alberta,#185 8330 - 82 Avenue NW,Edmonton
a2t5o00000001ECAAY,Sobeys_Covid_Pool?,8899,Safeway Wetaskiwin - COVID - PFIZER,T9A 2B1,Alberta,3901 - 56 Street,Wetaskiwin
a2t5o00000001EDAAY,Sobeys_Covid_Pool?,8900,Safeway The Grange - COVID - PFIZER,T5T 1K8,Alberta,2534 Guardian Road,Edmonton
a2t5o00000001EEAAY,Sobeys_Covid_Pool?,8903,Safeway Aspen Landing - COVID - PFIZER,T3H 0N6,Alberta,375 Aspen Glen Landing SW,Calgary
a2t5o00000001EFAAY,Sobeys_Covid_Pool?,1129,Sobeys Royal Oak - COVID - PFIZER,T3G 5T4,Alberta,125-8888 Country Hills Boulevard NW,Calgary
