name,address,postal,phone,province,id
Access Pharmacy,"6255 Andrews Loop SW, Edmonton, AB T6W 3G9",T6W3G9,7803911315,AB,a6fef7d9-0ecc-44d1-85af-ef6c8d2b6501
Admirals Walk Pharmasave PS#285,"1497 Admirals Road
101
Victoria British Columbia V9A 2P8
Canada",V9A2P8,416-309-9109,BC,31327823-3ce8-445a-9db6-b0f00778e34d
Ali's Drug Mart,"1 Westwind Dr #214, Spruce Grove, AB T7X 1R3",T7X1R3,(587) 461-7308,AB,9ca91d85-3bc2-4442-a67a-a7bf0f9dc45f
Bigstone Slave Lake Apple Drugs,"108 6 Ave NW, Slave Lake, AB T0G 2A1",T0G2A1,780-849-9443,AB,fbaa7876-0a33-4a96-90d3-6d4c33a0d2e7
Bishop's Crossing Pharmacy and Travel Clinic,"300b-1212 5th St S E, High River, (Alberta), T1V 0J2",T1V0J2,587-437-1880,AB,fa3d20f4-ba61-47aa-b2e4-3b94d8e2b87c
Bouctouche Guardian,"30 Irving Blvd #200, Bouctouche, NB E4S 3L2",E4S3L2,506-743-2435,NB,1091db37-0eed-4421-b5bd-816281cba33e
Brighton Remedy's Rx Pharmacy,"24 Main St, Brighton, ON K0K 1H0",K0K1H0,613-475-1499,ON,0df4ec73-d93c-48d7-b2ef-7f3cb7de4254
Bruderhheim Pharmacy,"4901 Queen St, Bruderheim, AB T0B 0S0",T0B0S0,780-575-3000,AB,3d67d43f-ab3d-4323-8ae8-9caea14dab0f
Central Alberta Co-op Plaza,"4707 50 St, Red Deer, AB T4N 1X3",T4N1X3,403-342-6775,AB,64f4a10c-3274-4b30-ad50-7acdb5c292a3
Central Alberta Co-op Timberlands,"499 Timberlands Dr #3101, Red Deer, AB T4P 0Z3",T4P0Z3,(587) 802-8558,AB,a7fefabb-b892-4fdb-8f92-725224a6e9fd
Chase River Pharmasave PS#267,"1273 Island Highway South
5
Nanaimo British Columbia V9R 7A4
Canada",V9R7A4,250-755-1834,BC,98ce6782-aa56-4b11-b677-61f73c956e42
Community Drug Mart #5015 - Orillia,"100 Colborne St W, Orillia, ON L3V 2Y9",L3V2Y9,249-495-0797,ON,fcdc7062-8782-46a3-bf10-5d3a750ae538
Credit Ridge Remedy's Rx,"7-9525 Mississauga Rd, Brampton, ON L6X 0Z8",L6X0Z8,905-451-4888,ON,8f9b1c44-e98b-4d4c-8d4c-09226873e9e3
Crowborough Pharmacy,"6055 Andrews Way SW #111, Edmonton, AB T6W 3S9",T6W3S9,587-735-3492,AB,4e7769f9-6164-4825-afc9-187355752979
Falls Remedy's Rx Pharmacy,"6635 Drummond Rd, Niagara Falls, (Ontario), L2G 4N4",L2G4N4,905-354-3883,ON,2598bf15-5615-4e07-bf91-b822cf318ce1
FamiliPrix #1944,"150, Rte La Vallée, Memramcook, NB E4K 2A6",E4K2A6,506-758-1890,NB,004d1fbb-053f-46ec-9d0b-a69974cfe07b
